,hotel_name,Class of Rating,Rating
468,East 52nd Street Apt 1B,None,None
469,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,Very Good,8.5
470,East 37th Street & Lexington Ave. Apt 4R,None,None
471,Chic and Beautiful Home center of the World NYC,None,None
472,The Greenwich Hotel,Awesome,9.4
473,Full Studio Near The Central Park,Very Good,8.2
474,World Center Hotel,Excellent,8.6
475,Avalon Hotel,Very Good,8.4
476,Global Luxury Suites in Murray Hill,None,None
477,InterContinental New York Times Square,Very Good,8.0
478,Four Bedroom Apartment - Eldridge St. #38,Review score,6.9
479,Fairfield Inn by Marriott New York Manhattan/Financial District,Very Good,8.3
480,Belnord Hotel,Good,7.9
481,Studio Plus - Apartment Suites,Good,7.1
482,Central Park Studios,Good,7.4
483,Greenwich Village 2 bed 1 bath,None,None
484,La Quinta Inn & Suites Manhattan,Very Good,8.0
485,Mulberry Street Apt 13,None,None
486,Anthem,None,None
487,DoubleTree by Hilton Metropolitan New York City,Good,7.8
488,Luxury Two Bedroom Apartment - Midtown West G,None,None
489,The Ideal 2 Bedroom Getaway by Central Park UWS,Review score,6.3
490,Hello Broadway,Review score,6.5
491,Three- Bedroom Apartment on 5th Ave,None,None
492,The Hendrix,None,None
493,Modern 2 Bedroom Apartment NYC,None,None
494,2 Bedroom Apartment Hell's Kitchen,Good,7.0
495,Luxury Apartment Time Square,None,None
496,Apartment in the Heart of Manhattan,None,None
497,"Near the Central Park, in New York",Very Good,8.1
498,East Village Convenient Apartment,None,None
499,28th Street & Park Avenue Apartments,None,None
500,"The Beekman, a Thompson Hotel",Awesome,9.3
501,Gansevoort Meatpacking,Very Good,8.3
502,Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,Excellent,8.6
503,East Village: Newly Renovated 2 Bedroom,Review score,6.7
504,Stylish 2 Bed in Soho,None,None
505,The Sherry Netherland,Awesome,9.4
506,st nicholas terrace,None,None
507,Perfect Retreat in Downtown,None,None
508,Exquisite 2 Bedroom 2 Baths all modern and High end Furniture,None,None
509,Studio Plus - Midtown Spacious Apartment,Good,7.6
510,Great Room Loft,None,None
511,Holiday Inn Express - Times Square,Good,7.7
512,Studio Apartments - West 31st Street,Review score,6.2
513,Leon Hotel,Very Good,8.4
514,BRAND NEW ULTRA MODERN NOMAD PARK AVENUE(31 AND PARK) 800 FT 2BR 1BA W/D ELEVATOR!,Good,7.7
515,Executive Hotel Le Soleil New York,Excellent,8.6
516,Spacious 1 bedroom with roofdeck in an elevator building,None,None
517,Aparthotel Manhattan Residence.6,None,None
518,New private studio-apartment,Good,7.7
519,Nice studio-apartment in Financial District,Very Good,8.5
520,Beautiful Downtown Apartments NYC,None,None
